profile_id	shape_id	behavior_class	amplitude	approach_power	A_source	source_x	status	endpoint_reached	numerically_certified	affine_final	endpoint_x_observed	endpoint_det_D	minimum_D_singular_value_sampled	caustic_sign_change_sampled	null_residual	screen_gram_residual	screen_ray_residual	p_t_residual	p_psi_residual	nfev
G75_AM_S43_E50	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	8.1152123484075052	1.9364916731037085	10.108512528719377	0	False	2.701831813833877e-15	1.8096635301390052e-14	1.6653345369377348e-15	1.27675647831893e-14	6.7862382380212694e-15	48707
G75_AM_S43_E50	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	13.510393472036821	1.9960899278339139	20.152064198726766	0	False	3.0522459559811921e-15	4.0412118096355698e-14	4.0453751459779141e-15	1.2656542480726785e-14	6.2311267257086911e-15	81077
G75_AM_S43_E50	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	14.965984802708832	1.9997558444720196	23.453442910543295	0	False	3.3714350755609246e-15	2.9909408283401717e-13	3.7747582837255322e-14	1.1435297153639112e-14	6.1756155744774333e-15	89807
G75_AM_S43_E100	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	4	0.0625	1.9364916731037085	TURNING_NO_ENDPOINT	False	False	20	1.8346119758275365	35.551541672381838	0	False	5.8659674340155732e-15	2.7977620220553945e-14	1.0616507672978059e-15	1.5210055437364645e-14	3.1363800445660672e-15	120002
G75_AM_S43_E100	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	8	0.00390625	1.9960899278339139	TURNING_NO_ENDPOINT	False	False	20	1.8346119758275365	35.551541672381838	0	False	5.8659674340155732e-15	2.7977620220553945e-14	1.0616507672978059e-15	1.5210055437364645e-14	3.1363800445660672e-15	120002
G75_AM_S43_E100	S43	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	12	0.000244140625	1.9997558444720196	TURNING_NO_ENDPOINT	False	False	20	1.8346119758275365	35.551541672381838	0	False	5.8659674340155732e-15	2.7977620220553945e-14	1.0616507672978059e-15	1.5210055437364645e-14	3.1363800445660672e-15	120002
G75_AM_S44_E05	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	1.7523924773435728	1.9364916731037085	2.9494091911522831	0	False	5.4199360895468327e-16	8.2156503822261584e-15	4.6629367034256575e-15	2.2204460492503131e-15	3.6620012577870398e-15	10517
G75_AM_S44_E05	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	1.9206348340347394	1.9960899278339139	3.3160016936506893	0	False	5.9054052688178719e-16	1.3100631690576847e-14	7.1054273576010019e-14	2.2204460492503131e-15	9.8792501956879164e-15	11537
G75_AM_S44_E05	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	1.9626399581773715	1.9997558444720196	3.3904376824973785	0	False	4.8080973161624324e-16	2.3303581286882036e-13	1.0613732115416497e-12	2.3314683517128287e-15	1.0767428615388042e-14	11804
G75_AM_S44_E20	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.1612076776773268	1.9364916731037085	3.3820301320428912	0	False	1.8757414895630741e-15	7.1054273576010019e-15	7.4940054162198066e-15	5.9952043329758453e-15	1.2205514376972815e-14	12977
G75_AM_S44_E20	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.7922594180016955	1.9960899278339139	4.3077150032783118	0	False	1.8509323750530906e-15	1.3322676295501878e-14	1.4988010832439613e-14	6.6613381477509392e-15	1.2205514376972815e-14	16757
G75_AM_S44_E20	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.9612324391787617	1.9997558444720196	4.5437392249949182	0	False	1.8071102424109883e-15	1.4210854715202004e-13	1.5815126985785355e-13	6.7723604502134549e-15	1.3537782006523003e-14	17777
G75_AM_S44_E50	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	3.2578777805368002	1.9364916731037085	4.6746474089254475	0	False	4.0783348920214735e-15	1.6431300764452317e-14	4.801714581503802e-15	1.865174681370263e-14	5.97091820431217e-15	19562
G75_AM_S44_E50	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	4.9156833227817582	1.9960899278339139	7.0691263052970115	0	False	4.0991515737331952e-15	5.0737192225369654e-14	1.3072876114961218e-14	2.6423307986078726e-14	7.2407357887271928e-15	29507
G75_AM_S44_E50	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	5.3634042542122478	1.9997558444720196	7.7574056529288065	0	False	4.1034883824231372e-15	1.1568523916594131e-13	5.6302185136303251e-14	2.8199664825478976e-14	7.4627803936522241e-15	32192
G75_AM_S44_E100	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	5.7820075066491006	1.9364916731037085	8.3242588906918442	0	False	1.8112247812673843e-14	1.2434497875801753e-14	1.0658141036401503e-14	1.4988010832439613e-14	1.2261025528204073e-14	34697
G75_AM_S44_E100	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	10.091760087120438	1.9960899278339139	17.248850365216015	0	False	1.762479051592436e-14	8.9483975784787617e-14	1.136590821460004e-14	1.5876189252139739e-14	1.1594891713428979e-14	60557
G75_AM_S44_E100	S44	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	11.290713737564372	1.9997558444720196	20.441927714656178	0	False	1.7451318168326679e-14	1.1968204205459188e-12	1.6592283103022964e-13	1.6431300764452317e-14	1.1594891713428979e-14	67757
